[2023-12-05 14:24:48,275] Filepath does not exist: ./models_dens2/best.h5
[2023-12-05 14:24:48,275] Initializing new model
[2023-12-05 14:28:41,518] Epoch 123, Loss 180.9844970703125, Lr: 0.00100000
[2023-12-05 14:28:43,799] Epoch 124, Loss 53.88070297241211, Lr: 0.00100000
[2023-12-05 14:28:46,329] Epoch 125, Loss 136.66836547851562, Lr: 0.00100000
[2023-12-05 14:28:48,208] Epoch 126, Loss 98.98831939697266, Lr: 0.00100000
[2023-12-05 14:28:49,268] Epoch 127, Loss 33.834957122802734, Lr: 0.00100000
[2023-12-05 14:28:51,437] Epoch 128, Loss 59.82193374633789, Lr: 0.00100000
[2023-12-05 14:28:52,120] Epoch 129, Loss 23.075429916381836, Lr: 0.00100000
[2023-12-05 14:28:55,525] Epoch 130, Loss 57.65924072265625, Lr: 0.00100000
[2023-12-05 14:28:57,201] Epoch 131, Loss 40.248409271240234, Lr: 0.00100000
[2023-12-05 14:28:59,226] Epoch 132, Loss 126.31932067871094, Lr: 0.00100000
[2023-12-05 14:29:01,266] Epoch 133, Loss 74.4697036743164, Lr: 0.00100000
[2023-12-05 14:29:02,998] Epoch 134, Loss 40.12389373779297, Lr: 0.00100000
[2023-12-05 14:29:04,953] Epoch 135, Loss 86.39541625976562, Lr: 0.00100000
[2023-12-05 14:29:06,942] Epoch 136, Loss 44.30783462524414, Lr: 0.00100000
[2023-12-05 14:29:10,043] Epoch 137, Loss 212.43292236328125, Lr: 0.00100000
[2023-12-05 14:29:11,860] Epoch 138, Loss 36.27775573730469, Lr: 0.00100000
[2023-12-05 14:29:12,566] Epoch 139, Loss 19.091663360595703, Lr: 0.00100000
[2023-12-05 14:29:13,523] Epoch 140, Loss 34.57670593261719, Lr: 0.00100000
[2023-12-05 14:29:17,163] Epoch 141, Loss 124.26526641845703, Lr: 0.00100000
[2023-12-05 14:29:18,415] Epoch 142, Loss 37.34975814819336, Lr: 0.00100000
[2023-12-05 14:29:21,108] Epoch 143, Loss 97.16677856445312, Lr: 0.00100000
[2023-12-05 14:29:22,178] Epoch 144, Loss 25.43827247619629, Lr: 0.00100000
[2023-12-05 14:29:24,722] Epoch 145, Loss 38.09857940673828, Lr: 0.00100000
[2023-12-05 14:29:25,933] Epoch 146, Loss 35.643043518066406, Lr: 0.00100000
[2023-12-05 14:29:28,389] Epoch 147, Loss 113.16903686523438, Lr: 0.00100000
[2023-12-05 14:29:33,971] Epoch 148, Loss 19.236648559570312, Lr: 0.00100000
[2023-12-05 14:29:35,529] Epoch 149, Loss 27.6087589263916, Lr: 0.00100000
[2023-12-05 14:29:38,595] Epoch 150, Loss 100.18313598632812, Lr: 0.00100000
[2023-12-05 14:29:40,762] Epoch 151, Loss 34.47393035888672, Lr: 0.00100000
[2023-12-05 14:29:41,515] Epoch 152, Loss 25.322647094726562, Lr: 0.00100000
[2023-12-05 14:29:42,617] Epoch 153, Loss 27.353492736816406, Lr: 0.00100000
[2023-12-05 14:29:44,897] Epoch 154, Loss 95.89077758789062, Lr: 0.00100000
[2023-12-05 14:29:46,037] Epoch 155, Loss 26.650314331054688, Lr: 0.00100000
[2023-12-05 14:29:47,720] Epoch 156, Loss 23.497722625732422, Lr: 0.00100000
[2023-12-05 14:29:51,114] Epoch 157, Loss 86.5181884765625, Lr: 0.00100000
[2023-12-05 14:29:53,242] Epoch 158, Loss 33.542205810546875, Lr: 0.00100000
[2023-12-05 14:29:55,113] Epoch 159, Loss 57.162662506103516, Lr: 0.00100000
[2023-12-05 14:29:56,542] Epoch 160, Loss 72.70162963867188, Lr: 0.00100000
[2023-12-05 14:30:01,745] Epoch 161, Loss 56.439788818359375, Lr: 0.00100000
[2023-12-05 14:30:02,804] Epoch 162, Loss 19.589920043945312, Lr: 0.00100000
[2023-12-05 14:30:06,101] Epoch 163, Loss 78.70027160644531, Lr: 0.00100000
[2023-12-05 14:30:07,348] Epoch 164, Loss 14.889535903930664, Lr: 0.00100000
[2023-12-05 14:30:09,349] Epoch 165, Loss 37.95630645751953, Lr: 0.00100000
[2023-12-05 14:30:10,026] Epoch 166, Loss 22.498254776000977, Lr: 0.00100000
[2023-12-05 14:30:10,615] Epoch 167, Loss 21.200170516967773, Lr: 0.00100000
[2023-12-05 14:30:13,552] Epoch 168, Loss 198.15823364257812, Lr: 0.00100000
[2023-12-05 14:30:14,277] Epoch 169, Loss 67.331298828125, Lr: 0.00100000
[2023-12-05 14:30:14,796] Epoch 170, Loss 8.684972763061523, Lr: 0.00100000
[2023-12-05 14:30:16,424] Epoch 171, Loss 78.49243927001953, Lr: 0.00100000
[2023-12-05 14:30:17,194] Epoch 172, Loss 14.822661399841309, Lr: 0.00100000
[2023-12-05 14:30:19,094] Epoch 173, Loss 38.45417022705078, Lr: 0.00100000
[2023-12-05 14:30:25,648] Epoch 174, Loss 0.09372003376483917, Lr: 0.00100000
[2023-12-05 14:30:31,676] Epoch 175, Loss 4.814316749572754, Lr: 0.00100000
[2023-12-05 14:30:32,950] Epoch 176, Loss 16.39190673828125, Lr: 0.00100000
[2023-12-05 14:30:34,466] Epoch 177, Loss 39.4437255859375, Lr: 0.00100000
[2023-12-05 14:30:36,589] Epoch 178, Loss 39.71881103515625, Lr: 0.00100000
[2023-12-05 14:30:37,833] Epoch 179, Loss 14.977892875671387, Lr: 0.00100000
[2023-12-05 14:30:41,677] Epoch 180, Loss 244.1483154296875, Lr: 0.00100000
[2023-12-05 14:30:42,942] Epoch 181, Loss 36.35276412963867, Lr: 0.00100000
