[2023-11-23 16:28:21,531] Epoch 44, Loss 0.021568678319454193
[2023-11-23 16:28:37,135] Epoch 45, Loss 0.3554511070251465
[2023-11-23 16:28:49,575] Epoch 46, Loss 0.006741751451045275
[2023-11-23 16:29:05,642] Epoch 47, Loss 0.043901387602090836
[2023-11-23 16:29:20,676] Epoch 48, Loss 0.16107290983200073
[2023-11-23 16:29:34,305] Epoch 49, Loss 0.21527086198329926
[2023-11-23 16:29:48,530] Epoch 50, Loss 0.003952085506170988
[2023-11-23 16:30:00,874] Epoch 51, Loss 0.03296268731355667
[2023-11-23 16:30:12,929] Epoch 52, Loss 0.03912651538848877
[2023-11-23 16:30:26,909] Epoch 53, Loss 0.030581023544073105
[2023-11-23 16:30:40,203] Epoch 54, Loss 0.01754061132669449
[2023-11-23 16:30:51,981] Epoch 55, Loss 0.05672001466155052
[2023-11-23 16:31:05,262] Epoch 56, Loss 0.06776546686887741
[2023-11-23 16:31:18,874] Epoch 57, Loss 0.008823680691421032
[2023-11-23 16:31:32,457] Epoch 58, Loss 0.013485078699886799
[2023-11-23 16:31:49,552] Epoch 59, Loss 0.015589523129165173
[2023-11-23 16:32:05,110] Epoch 60, Loss 0.008801105432212353
[2023-11-23 16:32:18,352] Epoch 61, Loss 0.07341063022613525
[2023-11-23 16:32:37,096] Epoch 62, Loss 0.02257215976715088
[2023-11-23 16:32:53,605] Epoch 63, Loss 0.007764613255858421
[2023-11-23 16:33:08,702] Epoch 64, Loss 0.5195547938346863
[2023-11-23 16:33:25,056] Epoch 65, Loss 0.0024059030693024397
[2023-11-23 16:33:50,809] Epoch 66, Loss 0.010956783778965473
[2023-11-23 16:34:05,605] Epoch 67, Loss 0.05260298773646355
[2023-11-23 16:34:22,589] Epoch 68, Loss 0.0019103040685877204
[2023-11-23 16:34:40,332] Epoch 69, Loss 0.05744854733347893
[2023-11-23 16:37:19,001] Epoch 70, Loss 0.011704987846314907
[2023-11-23 16:38:48,100] Epoch 71, Loss 0.0033587415236979723
[2023-11-23 16:39:00,562] Epoch 72, Loss 0.01461397297680378
[2023-11-23 16:39:12,675] Epoch 73, Loss 0.029294807463884354
[2023-11-23 16:39:28,612] Epoch 74, Loss 0.034958261996507645
[2023-11-23 16:39:40,358] Epoch 75, Loss 0.026043761521577835
[2023-11-23 16:39:52,172] Epoch 76, Loss 1.1165950298309326
[2023-11-23 16:40:05,330] Epoch 77, Loss 0.010464131832122803
