[2023-11-28 09:36:07,660] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:55:21,982] Epoch 74, Loss 44.578765869140625
[2023-11-28 09:55:22,339] Epoch 75, Loss 0.3814547061920166
[2023-11-28 09:55:22,765] Epoch 76, Loss 0.46839287877082825
[2023-11-28 09:55:24,436] Epoch 77, Loss 17.767066955566406
[2023-11-28 09:55:28,014] Epoch 78, Loss 2.4740185737609863
[2023-11-28 09:55:29,506] Epoch 79, Loss 2.18245005607605
[2023-11-28 09:55:30,331] Epoch 80, Loss 3.2636773586273193
[2023-11-28 09:55:31,965] Epoch 81, Loss 27.517866134643555
[2023-11-28 09:55:33,189] Epoch 82, Loss 17.322420120239258
[2023-11-28 09:55:35,073] Epoch 83, Loss 17.29978370666504
[2023-11-28 09:55:37,654] Epoch 84, Loss 23.80493927001953
[2023-11-28 09:55:38,813] Epoch 85, Loss 17.892919540405273
[2023-11-28 09:55:41,945] Epoch 86, Loss 21.13815689086914
[2023-11-28 09:55:44,236] Epoch 87, Loss 18.400367736816406
[2023-11-28 09:55:46,446] Epoch 88, Loss 36.16969680786133
[2023-11-28 09:55:48,144] Epoch 89, Loss 45.48480224609375
[2023-11-28 09:55:49,781] Epoch 90, Loss 18.774778366088867
[2023-11-28 09:55:52,934] Epoch 91, Loss 18.67437744140625
[2023-11-28 09:55:54,230] Epoch 92, Loss 1.273319125175476
[2023-11-28 09:55:56,088] Epoch 93, Loss 18.585134506225586
[2023-11-28 09:55:56,489] Epoch 94, Loss 0.25479257106781006
[2023-11-28 09:55:58,661] Epoch 95, Loss 27.711793899536133
[2023-11-28 09:56:01,285] Epoch 96, Loss 30.235958099365234
[2023-11-28 09:56:03,371] Epoch 97, Loss 19.861953735351562
[2023-11-28 09:56:05,202] Epoch 98, Loss 1.8752928972244263
[2023-11-28 09:56:06,326] Epoch 99, Loss 0.6115741729736328
[2023-11-28 09:56:06,906] Epoch 100, Loss 0.4345770478248596
[2023-11-28 09:56:06,907] Saved model at ./models_wzlen/epoch_100.h5
[2023-11-28 09:56:06,908] Loaded existing model at ./models_wzlen/epoch_100.h5
[2023-11-28 09:57:21,466] Saved model at ./models_wzlen/best.h5
[2023-11-28 09:57:21,466] ./models_wzlen/epoch_100.h5 is saved as the strongest model
[2023-11-28 09:57:24,782] Epoch 101, Loss 37.22401428222656
[2023-11-28 09:57:26,155] Epoch 102, Loss 9.265286445617676
[2023-11-28 09:57:27,057] Epoch 103, Loss 0.7261571288108826
[2023-11-28 09:57:27,670] Epoch 104, Loss 0.4877302944660187
[2023-11-28 09:57:30,167] Epoch 105, Loss 19.224063873291016
[2023-11-28 09:57:31,031] Epoch 106, Loss 1.5773056745529175
[2023-11-28 09:57:33,446] Epoch 107, Loss 44.61573028564453
[2023-11-28 09:57:34,852] Epoch 108, Loss 26.501129150390625
[2023-11-28 09:57:36,115] Epoch 109, Loss 1.4461264610290527
[2023-11-28 09:57:37,729] Epoch 110, Loss 35.59352111816406
[2023-11-28 09:57:39,173] Epoch 111, Loss 18.993005752563477
[2023-11-28 09:57:39,522] Epoch 112, Loss 9.444917678833008
[2023-11-28 09:57:40,528] Epoch 113, Loss 1.0415247678756714
[2023-11-28 09:57:43,510] Epoch 114, Loss 19.582883834838867
[2023-11-28 09:57:45,589] Epoch 115, Loss 9.913719177246094
[2023-11-28 09:57:47,576] Epoch 116, Loss 28.165563583374023
[2023-11-28 09:57:49,550] Epoch 117, Loss 43.93042755126953
