[2023-11-28 11:35:35,055] File ./models_wzno/best.h5 does not exist
[2023-11-28 11:42:02,110] Epoch 235, Loss 0.34828001260757446
[2023-11-28 11:42:02,805] Epoch 236, Loss 0.30999892950057983
[2023-11-28 11:42:06,910] Epoch 237, Loss 21.433244705200195
[2023-11-28 11:42:07,244] Epoch 238, Loss 0.08878912776708603
[2023-11-28 11:42:10,338] Epoch 239, Loss 30.294191360473633
[2023-11-28 11:42:10,958] Epoch 240, Loss 0.32779234647750854
[2023-11-28 11:42:13,949] Epoch 241, Loss 18.176183700561523
[2023-11-28 11:42:17,730] Epoch 242, Loss 3.4183459281921387
[2023-11-28 11:42:18,410] Epoch 243, Loss 0.8908547163009644
[2023-11-28 11:42:18,974] Epoch 244, Loss 0.16277816891670227
[2023-11-28 11:42:21,112] Epoch 245, Loss 35.00834655761719
[2023-11-28 11:42:22,271] Epoch 246, Loss 0.8990408778190613
[2023-11-28 11:42:24,096] Epoch 247, Loss 44.58515930175781
[2023-11-28 11:42:25,737] Epoch 248, Loss 19.323780059814453
[2023-11-28 11:42:27,720] Epoch 249, Loss 35.500343322753906
[2023-11-28 11:42:29,342] Epoch 250, Loss 18.698537826538086
[2023-11-28 11:42:29,343] Saved model at ./models_wzno/epoch_250.h5
[2023-11-28 11:42:32,438] Epoch 251, Loss 21.361175537109375
[2023-11-28 11:42:33,017] Epoch 252, Loss 0.6854287981987
[2023-11-28 11:42:34,775] Epoch 253, Loss 19.154693603515625
[2023-11-28 11:42:35,652] Epoch 254, Loss 18.053619384765625
[2023-11-28 11:42:36,952] Epoch 255, Loss 1.5446021556854248
[2023-11-28 11:42:38,917] Epoch 256, Loss 0.8653613924980164
[2023-11-28 11:42:39,831] Epoch 257, Loss 0.5261126756668091
[2023-11-28 11:42:40,406] Epoch 258, Loss 0.17031385004520416
[2023-11-28 11:42:42,313] Epoch 259, Loss 19.19657325744629
[2023-11-28 11:42:43,028] Epoch 260, Loss 9.131330490112305
[2023-11-28 11:42:43,524] Epoch 261, Loss 0.05725506693124771
[2023-11-28 11:42:44,755] Epoch 262, Loss 10.681549072265625
[2023-11-28 11:42:45,825] Epoch 263, Loss 26.182037353515625
[2023-11-28 11:42:46,321] Epoch 264, Loss 0.12225823104381561
[2023-11-28 11:42:48,143] Epoch 265, Loss 9.275574684143066
[2023-11-28 11:42:48,518] Epoch 266, Loss 0.2272031307220459
[2023-11-28 11:42:51,443] Epoch 267, Loss 21.31952667236328
[2023-11-28 11:42:52,283] Epoch 268, Loss 1.2770744562149048
[2023-11-28 11:42:53,352] Epoch 269, Loss 25.87751579284668
[2023-11-28 11:42:54,566] Epoch 270, Loss 1.778671145439148
[2023-11-28 11:42:57,813] Epoch 271, Loss 1.5559712648391724
[2023-11-28 11:43:00,442] Epoch 272, Loss 2.7513670921325684
[2023-11-28 11:43:02,089] Epoch 273, Loss 1.0643234252929688
[2023-11-28 11:43:05,596] Epoch 274, Loss 18.895383834838867
[2023-11-28 11:43:06,815] Epoch 275, Loss 3.7092390060424805
[2023-11-28 11:43:10,156] Epoch 276, Loss 48.3067512512207
[2023-11-28 11:43:11,915] Epoch 277, Loss 35.803916931152344
[2023-11-28 11:43:13,758] Epoch 278, Loss 19.74956703186035
[2023-11-28 11:43:14,451] Epoch 279, Loss 10.365093231201172
[2023-11-28 11:43:15,115] Epoch 280, Loss 1.7110501527786255
[2023-11-28 11:43:16,623] Epoch 281, Loss 19.445707321166992
[2023-11-28 11:43:18,979] Epoch 282, Loss 62.54074478149414
[2023-11-28 11:43:19,894] Epoch 283, Loss 0.7725530862808228
[2023-11-28 11:43:21,391] Epoch 284, Loss 36.58354568481445
[2023-11-28 11:43:21,647] Epoch 285, Loss 25.873428344726562
[2023-11-28 11:43:24,135] Epoch 286, Loss 44.422019958496094
[2023-11-28 11:43:26,317] Epoch 287, Loss 28.184955596923828
[2023-11-28 11:43:27,846] Epoch 288, Loss 34.99885177612305
[2023-11-28 11:43:28,635] Epoch 289, Loss 0.9365429878234863
[2023-11-28 11:43:30,134] Epoch 290, Loss 1.3637508153915405
[2023-11-28 11:43:31,070] Epoch 291, Loss 0.6807780265808105
[2023-11-28 11:43:32,311] Epoch 292, Loss 19.96687126159668
[2023-11-28 11:43:35,968] Epoch 293, Loss 3.5312447547912598
[2023-11-28 11:43:37,524] Epoch 294, Loss 18.203197479248047
[2023-11-28 11:43:38,618] Epoch 295, Loss 2.3278398513793945
[2023-11-28 11:43:39,626] Epoch 296, Loss 9.159172058105469
[2023-11-28 11:43:41,067] Epoch 297, Loss 1.2012381553649902
[2023-11-28 11:43:43,504] Epoch 298, Loss 36.67076110839844
[2023-11-28 11:43:45,419] Epoch 299, Loss 17.309091567993164
[2023-11-28 11:43:46,920] Epoch 300, Loss 10.682125091552734
[2023-11-28 11:43:46,921] Saved model at ./models_wzno/epoch_300.h5
[2023-11-28 11:43:49,447] Epoch 301, Loss 22.174762725830078
[2023-11-28 11:43:50,852] Epoch 302, Loss 26.996082305908203
[2023-11-28 11:43:51,780] Epoch 303, Loss 26.59904670715332
[2023-11-28 11:43:52,666] Epoch 304, Loss 17.261302947998047
