[2023-12-04 16:15:59,912] Filepath does not exist: ./models_conv/best.h5
[2023-12-04 16:15:59,912] Initializing new model
[2023-12-04 16:24:32,954] Epoch 206, Loss 29.698957443237305
[2023-12-04 16:24:33,987] Epoch 207, Loss 13.346773147583008
[2023-12-04 16:24:34,314] Epoch 208, Loss 23.93573760986328
[2023-12-04 16:24:35,259] Epoch 209, Loss 35.46091079711914
[2023-12-04 16:24:35,854] Epoch 210, Loss 9.041492462158203
[2023-12-04 16:24:36,596] Epoch 211, Loss 33.539268493652344
[2023-12-04 16:24:38,039] Epoch 212, Loss 48.905887603759766
[2023-12-04 16:24:38,827] Epoch 213, Loss 9.041671752929688
[2023-12-04 16:24:39,689] Epoch 214, Loss 31.616924285888672
[2023-12-04 16:24:39,960] Epoch 215, Loss 20.091270446777344
[2023-12-04 16:24:40,881] Epoch 216, Loss 10.76419448852539
[2023-12-04 16:24:41,640] Epoch 217, Loss 11.625441551208496
[2023-12-04 16:24:42,400] Epoch 218, Loss 9.903244018554688
[2023-12-04 16:24:43,655] Epoch 219, Loss 13.347946166992188
[2023-12-04 16:24:44,444] Epoch 220, Loss 9.042216300964355
[2023-12-04 16:24:45,415] Epoch 221, Loss 12.486943244934082
[2023-12-04 16:24:46,370] Epoch 222, Loss 11.625819206237793
[2023-12-04 16:24:47,644] Epoch 223, Loss 15.931730270385742
[2023-12-04 16:24:48,636] Epoch 224, Loss 12.487054824829102
[2023-12-04 16:24:49,752] Epoch 225, Loss 12.487079620361328
[2023-12-04 16:24:50,807] Epoch 226, Loss 16.792966842651367
[2023-12-04 16:24:51,307] Epoch 227, Loss 25.85028076171875
[2023-12-04 16:24:52,639] Epoch 228, Loss 48.89904022216797
[2023-12-04 16:24:53,482] Epoch 229, Loss 29.691125869750977
[2023-12-04 16:24:53,835] Epoch 230, Loss 4.736576080322266
[2023-12-04 16:24:54,760] Epoch 231, Loss 41.2140007019043
[2023-12-04 16:24:55,976] Epoch 232, Loss 46.97492599487305
[2023-12-04 16:24:56,616] Epoch 233, Loss 29.687541961669922
[2023-12-04 16:24:57,857] Epoch 234, Loss 15.93326473236084
[2023-12-04 16:24:58,581] Epoch 235, Loss 9.043417930603027
[2023-12-04 16:25:00,090] Epoch 236, Loss 17.656579971313477
[2023-12-04 16:25:00,734] Epoch 237, Loss 8.182463645935059
[2023-12-04 16:25:01,637] Epoch 238, Loss 10.76656723022461
[2023-12-04 16:25:01,918] Epoch 239, Loss 21.99833869934082
[2023-12-04 16:25:02,275] Epoch 240, Loss 4.737453460693359
[2023-12-04 16:25:03,014] Epoch 241, Loss 9.90577507019043
[2023-12-04 16:25:04,086] Epoch 242, Loss 15.074252128601074
[2023-12-04 16:25:05,215] Epoch 243, Loss 39.27752685546875
[2023-12-04 16:25:06,384] Epoch 244, Loss 15.93628215789795
[2023-12-04 16:25:07,005] Epoch 245, Loss 29.67258071899414
[2023-12-04 16:25:08,385] Epoch 246, Loss 17.660228729248047
[2023-12-04 16:25:09,710] Epoch 247, Loss 15.937799453735352
[2023-12-04 16:25:10,373] Epoch 248, Loss 8.18447494506836
[2023-12-04 16:25:11,655] Epoch 249, Loss 45.02590560913086
[2023-12-04 16:25:12,736] Epoch 250, Loss 39.261985778808594
[2023-12-04 16:26:23,568] ./models_conv/epoch_250.h5 is saved as the latest model
[2023-12-04 16:26:24,459] Epoch 251, Loss 27.7366886138916
[2023-12-04 16:26:25,157] Epoch 252, Loss 29.648714065551758
[2023-12-04 16:26:25,989] Epoch 253, Loss 37.315032958984375
[2023-12-04 16:26:26,749] Epoch 254, Loss 11.639083862304688
[2023-12-04 16:26:27,894] Epoch 255, Loss 13.367011070251465
[2023-12-04 16:26:29,156] Epoch 256, Loss 41.0965461730957
[2023-12-04 16:26:29,619] Epoch 257, Loss 25.7214298248291
[2023-12-04 16:26:30,335] Epoch 258, Loss 29.49925994873047
[2023-12-04 16:26:31,084] Epoch 259, Loss 35.12321090698242
[2023-12-04 16:26:31,635] Epoch 260, Loss 23.379281997680664
[2023-12-04 16:26:32,739] Epoch 261, Loss 35.709224700927734
[2023-12-04 16:26:33,619] Epoch 262, Loss 28.881887435913086
[2023-12-04 16:26:34,504] Epoch 263, Loss 15.972578048706055
[2023-12-04 16:26:35,501] Epoch 264, Loss 17.993694305419922
[2023-12-04 16:26:36,044] Epoch 265, Loss 7.976343631744385
[2023-12-04 16:26:36,497] Epoch 266, Loss 7.255980014801025
[2023-12-04 16:26:37,246] Epoch 267, Loss 31.446849822998047
[2023-12-04 16:26:38,184] Epoch 268, Loss 33.969112396240234
[2023-12-04 16:26:38,651] Epoch 269, Loss 6.053456783294678
[2023-12-04 16:26:39,582] Epoch 270, Loss 34.34219741821289
[2023-12-04 16:26:40,202] Epoch 271, Loss 26.731353759765625
[2023-12-04 16:26:40,764] Epoch 272, Loss 30.602651596069336
[2023-12-04 16:26:41,840] Epoch 273, Loss 36.38289260864258
[2023-12-04 16:26:42,697] Epoch 274, Loss 11.198235511779785
[2023-12-04 16:26:43,275] Epoch 275, Loss 8.612874984741211
[2023-12-04 16:26:44,746] Epoch 276, Loss 18.94658088684082
[2023-12-04 16:26:45,192] Epoch 277, Loss 24.89166259765625
[2023-12-04 16:26:46,194] Epoch 278, Loss 11.19444465637207
[2023-12-04 16:26:47,524] Epoch 279, Loss 44.105743408203125
[2023-12-04 16:26:48,710] Epoch 280, Loss 16.3601131439209
[2023-12-04 16:26:49,589] Epoch 281, Loss 11.193537712097168
[2023-12-04 16:26:50,380] Epoch 282, Loss 36.426265716552734
[2023-12-04 16:26:51,435] Epoch 283, Loss 38.34815216064453
[2023-12-04 16:26:52,251] Epoch 284, Loss 9.471095085144043
