[2023-11-30 19:12:19,108] Filepath does not exist: ./models_fwd/best.h5
[2023-11-30 19:12:19,109] Initializing new model
[2023-11-30 19:29:47,101] Epoch 14, Loss 1.3539609909057617
[2023-11-30 19:29:48,555] Epoch 15, Loss 3.2168233394622803
[2023-11-30 19:29:49,401] Epoch 16, Loss 0.3824351131916046
[2023-11-30 19:29:50,122] Epoch 17, Loss 0.3647802770137787
[2023-11-30 19:29:51,099] Epoch 18, Loss 0.1682177484035492
[2023-11-30 19:29:52,159] Epoch 19, Loss 5.420828819274902
[2023-11-30 19:29:53,322] Epoch 20, Loss 1.7395304441452026
[2023-11-30 19:29:55,520] Epoch 21, Loss 2.4182496070861816
[2023-11-30 19:29:56,327] Epoch 22, Loss 18.002893447875977
[2023-11-30 19:29:57,530] Epoch 23, Loss 1.1078376770019531
[2023-11-30 19:29:58,687] Epoch 24, Loss 0.28228020668029785
[2023-11-30 19:30:00,396] Epoch 25, Loss 0.9518163800239563
[2023-11-30 19:30:01,476] Epoch 26, Loss 30.61614227294922
[2023-11-30 19:30:02,746] Epoch 27, Loss 1.6709725856781006
[2023-11-30 19:30:04,427] Epoch 28, Loss 1.2178493738174438
[2023-11-30 19:30:05,857] Epoch 29, Loss 1.6468002796173096
[2023-11-30 19:30:08,012] Epoch 30, Loss 2.6607017517089844
[2023-11-30 19:30:09,452] Epoch 31, Loss 1.5020852088928223
[2023-11-30 19:30:10,802] Epoch 32, Loss 17.680635452270508
[2023-11-30 19:30:12,782] Epoch 33, Loss 1.3935837745666504
[2023-11-30 19:30:13,838] Epoch 34, Loss 27.934017181396484
[2023-11-30 19:30:14,537] Epoch 35, Loss 0.27101945877075195
[2023-11-30 19:30:15,652] Epoch 36, Loss 0.43037688732147217
[2023-11-30 19:30:16,000] Epoch 37, Loss 0.20741279423236847
[2023-11-30 19:30:17,909] Epoch 38, Loss 18.445343017578125
[2023-11-30 19:30:18,551] Epoch 39, Loss 10.333284378051758
[2023-11-30 19:30:19,395] Epoch 40, Loss 2.2906298637390137
[2023-11-30 19:30:20,069] Epoch 41, Loss 10.738740921020508
[2023-11-30 19:30:20,904] Epoch 42, Loss 0.4392949342727661
[2023-11-30 19:30:21,557] Epoch 43, Loss 0.4451349973678589
[2023-11-30 19:30:22,248] Epoch 44, Loss 1.4672675132751465
[2023-11-30 19:30:23,848] Epoch 45, Loss 28.334287643432617
[2023-11-30 19:30:25,496] Epoch 46, Loss 2.383561849594116
[2023-11-30 19:30:26,107] Epoch 47, Loss 0.3496382236480713
[2023-11-30 19:30:27,127] Epoch 48, Loss 0.33444905281066895
[2023-11-30 19:30:27,574] Epoch 49, Loss 0.7675271034240723
[2023-11-30 19:30:29,246] Epoch 50, Loss 2.2871382236480713
[2023-11-30 19:32:01,242] ./models_fwd/epoch_50.h5 is saved as the strongest model
