[2023-12-02 22:46:17,007] Filepath does not exist: ./models_dens/best.h5
[2023-12-02 22:46:17,007] Initializing new model
[2023-12-02 22:51:53,893] Epoch 136, Loss 98.54460144042969
[2023-12-02 22:51:54,462] Epoch 137, Loss 28.365520477294922
[2023-12-02 22:51:55,784] Epoch 138, Loss 81.92247009277344
[2023-12-02 22:51:58,018] Epoch 139, Loss 75.8422622680664
[2023-12-02 22:51:59,135] Epoch 140, Loss 20.6614990234375
[2023-12-02 22:51:59,990] Epoch 141, Loss 20.228321075439453
[2023-12-02 22:52:01,625] Epoch 142, Loss 42.273136138916016
[2023-12-02 22:52:02,654] Epoch 143, Loss 39.1281623840332
[2023-12-02 22:52:03,383] Epoch 144, Loss 161.46160888671875
[2023-12-02 22:52:05,099] Epoch 145, Loss 49.87663269042969
[2023-12-02 22:52:07,102] Epoch 146, Loss 66.3402328491211
[2023-12-02 22:52:07,382] Epoch 147, Loss 7.729257106781006
[2023-12-02 22:52:08,580] Epoch 148, Loss 46.7028694152832
[2023-12-02 22:52:09,549] Epoch 149, Loss 14.062616348266602
[2023-12-02 22:52:10,113] Epoch 150, Loss 7.922307968139648
[2023-12-02 22:54:01,723] ./models_dens/epoch_150.h5 is saved as the latest model
[2023-12-02 22:54:02,995] Epoch 151, Loss 40.75834655761719
[2023-12-02 22:54:04,340] Epoch 152, Loss 29.63490104675293
[2023-12-02 22:54:05,923] Epoch 153, Loss 24.287193298339844
[2023-12-02 22:54:07,076] Epoch 154, Loss 17.26816177368164
[2023-12-02 22:54:09,055] Epoch 155, Loss 41.23137283325195
[2023-12-02 22:54:09,270] Epoch 156, Loss 18.090486526489258
[2023-12-02 22:54:10,645] Epoch 157, Loss 26.697999954223633
[2023-12-02 22:54:11,729] Epoch 158, Loss 15.43105697631836
[2023-12-02 22:54:13,811] Epoch 159, Loss 87.67913818359375
[2023-12-02 22:54:15,829] Epoch 160, Loss 53.0617790222168
[2023-12-02 22:54:17,586] Epoch 161, Loss 67.10774230957031
[2023-12-02 22:54:18,720] Epoch 162, Loss 19.6995792388916
[2023-12-02 22:54:19,427] Epoch 163, Loss 13.227896690368652
[2023-12-02 22:54:19,620] Epoch 164, Loss 5.47642707824707
[2023-12-02 22:54:21,445] Epoch 165, Loss 33.696537017822266
[2023-12-02 22:54:22,729] Epoch 166, Loss 47.27958679199219
[2023-12-02 22:54:23,342] Epoch 167, Loss 17.910240173339844
[2023-12-02 22:54:24,293] Epoch 168, Loss 31.716548919677734
[2023-12-02 22:54:25,922] Epoch 169, Loss 29.52266502380371
[2023-12-02 22:54:26,879] Epoch 170, Loss 25.539613723754883
[2023-12-02 22:54:27,667] Epoch 171, Loss 14.4761962890625
[2023-12-02 22:54:28,202] Epoch 172, Loss 11.477397918701172
[2023-12-02 22:54:29,110] Epoch 173, Loss 25.64925765991211
[2023-12-02 22:54:30,688] Epoch 174, Loss 49.36665344238281
[2023-12-02 22:54:31,542] Epoch 175, Loss 44.047828674316406
[2023-12-02 22:54:32,698] Epoch 176, Loss 96.55593872070312
[2023-12-02 22:54:33,214] Epoch 177, Loss 31.31466293334961
[2023-12-02 22:54:34,107] Epoch 178, Loss 22.6882266998291
[2023-12-02 22:54:35,429] Epoch 179, Loss 70.1376953125
[2023-12-02 22:54:36,641] Epoch 180, Loss 19.282672882080078
[2023-12-02 22:54:37,775] Epoch 181, Loss 43.24864959716797
[2023-12-02 22:54:38,745] Epoch 182, Loss 61.511444091796875
[2023-12-02 22:54:40,099] Epoch 183, Loss 15.76490306854248
[2023-12-02 22:54:41,644] Epoch 184, Loss 34.86827850341797
[2023-12-02 22:54:42,353] Epoch 185, Loss 10.982706069946289
[2023-12-02 22:54:43,873] Epoch 186, Loss 28.935853958129883
