[2023-12-26 21:15:50,071] kl: 0.02768, lrMultiplier: 0.132, loss: 2.05477, entropy: 1.66316, explVarOld: 0.052, explVarNew: 0.082
[2023-12-26 21:15:56,159] kl: 0.02165, lrMultiplier: 0.132, loss: 2.16116, entropy: 1.65428, explVarOld: 0.080, explVarNew: 0.084
[2023-12-26 21:16:01,167] kl: 0.02925, lrMultiplier: 0.132, loss: 2.17708, entropy: 1.65359, explVarOld: 0.009, explVarNew: 0.036
[2023-12-26 21:16:07,744] kl: 0.03759, lrMultiplier: 0.132, loss: 2.17964, entropy: 1.69032, explVarOld: 0.024, explVarNew: 0.026
[2023-12-26 21:16:13,123] kl: 0.03866, lrMultiplier: 0.132, loss: 2.05162, entropy: 1.59719, explVarOld: 0.041, explVarNew: 0.048
[2023-12-26 21:16:18,120] kl: 0.03610, lrMultiplier: 0.132, loss: 1.96471, entropy: 1.57122, explVarOld: 0.018, explVarNew: 0.030
[2023-12-26 21:16:23,713] kl: 0.04151, lrMultiplier: 0.088, loss: 1.99536, entropy: 1.49735, explVarOld: 0.017, explVarNew: 0.023
[2023-12-26 21:16:29,464] kl: 0.02499, lrMultiplier: 0.088, loss: 1.89235, entropy: 1.52802, explVarOld: 0.062, explVarNew: 0.094
[2023-12-26 21:16:34,414] kl: 0.03634, lrMultiplier: 0.088, loss: 1.89520, entropy: 1.51111, explVarOld: 0.073, explVarNew: 0.084
[2023-12-26 21:16:39,899] kl: 0.01577, lrMultiplier: 0.088, loss: 1.91240, entropy: 1.52815, explVarOld: 0.056, explVarNew: 0.062
[2023-12-26 21:16:45,891] kl: 0.03780, lrMultiplier: 0.088, loss: 2.05553, entropy: 1.52525, explVarOld: 0.054, explVarNew: 0.058
[2023-12-26 21:16:52,223] kl: 0.06221, lrMultiplier: 0.088, loss: 2.02621, entropy: 1.54594, explVarOld: 0.097, explVarNew: 0.108
[2023-12-26 21:16:56,221] kl: 0.02420, lrMultiplier: 0.088, loss: 2.01510, entropy: 1.57910, explVarOld: 0.027, explVarNew: 0.053
[2023-12-26 21:16:59,906] kl: 0.02228, lrMultiplier: 0.088, loss: 2.03384, entropy: 1.52904, explVarOld: 0.056, explVarNew: 0.060
[2023-12-26 21:17:05,641] kl: 0.07528, lrMultiplier: 0.088, loss: 1.81523, entropy: 1.46974, explVarOld: 0.040, explVarNew: 0.052
[2023-12-26 21:17:12,378] kl: 0.05411, lrMultiplier: 0.088, loss: 2.11752, entropy: 1.47572, explVarOld: 0.040, explVarNew: 0.041
[2023-12-26 21:17:17,232] kl: 0.01978, lrMultiplier: 0.088, loss: 2.05466, entropy: 1.52731, explVarOld: 0.031, explVarNew: 0.039
[2023-12-26 21:17:23,621] kl: 0.02187, lrMultiplier: 0.088, loss: 2.06929, entropy: 1.58454, explVarOld: 0.050, explVarNew: 0.064
[2023-12-26 21:17:28,747] kl: 0.04785, lrMultiplier: 0.088, loss: 2.04322, entropy: 1.49005, explVarOld: 0.062, explVarNew: 0.067
[2023-12-26 21:17:34,532] kl: 0.07397, lrMultiplier: 0.088, loss: 2.18453, entropy: 1.50631, explVarOld: 0.037, explVarNew: 0.045
[2023-12-26 21:17:39,889] kl: 0.02528, lrMultiplier: 0.088, loss: 2.03680, entropy: 1.57176, explVarOld: 0.061, explVarNew: 0.066
[2023-12-26 21:17:44,583] kl: 0.02336, lrMultiplier: 0.088, loss: 2.01056, entropy: 1.51608, explVarOld: 0.048, explVarNew: 0.052
[2023-12-26 21:17:50,463] kl: 0.09831, lrMultiplier: 0.088, loss: 2.00958, entropy: 1.51200, explVarOld: 0.044, explVarNew: 0.050
[2023-12-26 21:17:56,452] kl: 0.02810, lrMultiplier: 0.088, loss: 1.96460, entropy: 1.48955, explVarOld: 0.072, explVarNew: 0.080
[2023-12-26 21:18:01,882] kl: 0.03533, lrMultiplier: 0.088, loss: 2.08496, entropy: 1.50188, explVarOld: 0.032, explVarNew: 0.031
[2023-12-26 21:18:07,672] kl: 0.06990, lrMultiplier: 0.088, loss: 2.05299, entropy: 1.54360, explVarOld: 0.071, explVarNew: 0.077
[2023-12-26 21:18:12,081] kl: 0.02045, lrMultiplier: 0.088, loss: 2.02068, entropy: 1.53493, explVarOld: 0.030, explVarNew: 0.045
[2023-12-26 21:18:16,869] kl: 0.03334, lrMultiplier: 0.088, loss: 2.05976, entropy: 1.50534, explVarOld: 0.097, explVarNew: 0.106
[2023-12-26 21:18:21,673] kl: 0.03897, lrMultiplier: 0.088, loss: 2.03367, entropy: 1.52504, explVarOld: 0.033, explVarNew: 0.040
[2023-12-26 21:18:25,925] kl: 0.01602, lrMultiplier: 0.088, loss: 2.08928, entropy: 1.48977, explVarOld: 0.058, explVarNew: 0.056
[2023-12-26 21:18:30,768] kl: 0.00703, lrMultiplier: 0.132, loss: 2.05397, entropy: 1.47892, explVarOld: 0.062, explVarNew: 0.065
[2023-12-26 21:18:36,332] kl: 0.03266, lrMultiplier: 0.132, loss: 1.95473, entropy: 1.42704, explVarOld: 0.043, explVarNew: 0.054
[2023-12-26 21:18:41,553] kl: 0.02855, lrMultiplier: 0.132, loss: 2.02838, entropy: 1.41194, explVarOld: 0.035, explVarNew: 0.049
[2023-12-26 21:18:46,483] kl: 0.04952, lrMultiplier: 0.088, loss: 2.10763, entropy: 1.46308, explVarOld: 0.029, explVarNew: 0.036
[2023-12-26 21:18:54,066] kl: 0.00822, lrMultiplier: 0.132, loss: 2.05281, entropy: 1.45927, explVarOld: 0.059, explVarNew: 0.064
[2023-12-26 21:18:58,895] kl: 0.02229, lrMultiplier: 0.132, loss: 2.18553, entropy: 1.44726, explVarOld: 0.028, explVarNew: 0.040
[2023-12-26 21:19:06,270] kl: 0.05346, lrMultiplier: 0.088, loss: 2.12695, entropy: 1.48758, explVarOld: 0.019, explVarNew: 0.033
[2023-12-26 21:19:11,362] kl: 0.04011, lrMultiplier: 0.088, loss: 2.26480, entropy: 1.50564, explVarOld: 0.039, explVarNew: 0.054
[2023-12-26 21:19:16,929] kl: 0.01445, lrMultiplier: 0.088, loss: 2.10723, entropy: 1.47559, explVarOld: -0.008, explVarNew: 0.018
[2023-12-26 21:19:21,457] kl: 0.01829, lrMultiplier: 0.088, loss: 2.07100, entropy: 1.37253, explVarOld: 0.056, explVarNew: 0.059
[2023-12-26 21:19:26,309] kl: 0.01717, lrMultiplier: 0.088, loss: 2.12169, entropy: 1.44445, explVarOld: 0.038, explVarNew: 0.077
[2023-12-26 21:19:31,736] kl: 0.01835, lrMultiplier: 0.088, loss: 2.06217, entropy: 1.39547, explVarOld: 0.032, explVarNew: 0.039
[2023-12-26 21:19:31,736] evalBatch: 150
[2023-12-26 21:20:01,181] BEST POLICY!!!!!!!
[2023-12-26 21:20:01,182] numPlayouts: 1000, win: 2, lose: 8, tie: 0, avgCurrStarted: 0.5
