[2023-12-06 12:01:30,664] Filepath does not exist: _dens/models/best.h5
[2023-12-06 12:01:30,664] Initializing new model
[2023-12-06 12:31:07,150] Epoch: 127, MSE: 0.7796481251716614, Reward: 1, LR: 0.00282
[2023-12-06 12:31:22,486] Epoch: 128, MSE: 0.8406102657318115, Reward: -1, LR: 0.00279
[2023-12-06 12:31:36,322] Epoch: 129, MSE: 0.8461132049560547, Reward: -1, LR: 0.00276
[2023-12-06 12:31:47,454] Epoch: 130, MSE: 0.8455924987792969, Reward: -1, LR: 0.00273
[2023-12-06 12:32:00,755] Epoch: 131, MSE: 0.7820209264755249, Reward: 1, LR: 0.00271
[2023-12-06 12:32:18,501] Epoch: 132, MSE: 0.7969396710395813, Reward: 1, LR: 0.00268
[2023-12-06 12:32:29,651] Epoch: 133, MSE: 0.8326495885848999, Reward: -1, LR: 0.00265
[2023-12-06 12:32:43,519] Epoch: 134, MSE: 0.8217365145683289, Reward: -1, LR: 0.00263
[2023-12-06 12:33:00,081] Epoch: 135, MSE: 0.797169029712677, Reward: 1, LR: 0.00260
[2023-12-06 12:33:22,937] Epoch: 136, MSE: 0.8170835971832275, Reward: -1, LR: 0.00257
[2023-12-06 12:33:39,012] Epoch: 137, MSE: 0.8157634139060974, Reward: -1, LR: 0.00255
[2023-12-06 12:33:54,999] Epoch: 138, MSE: 0.8029053211212158, Reward: 1, LR: 0.00252
[2023-12-06 12:34:13,858] Epoch: 139, MSE: 0.8001066446304321, Reward: 1, LR: 0.00250
[2023-12-06 12:34:32,780] Epoch: 140, MSE: 0.7992163300514221, Reward: 1, LR: 0.00247
[2023-12-06 12:34:50,785] Epoch: 141, MSE: 0.802165687084198, Reward: 1, LR: 0.00245
[2023-12-06 12:35:04,646] Epoch: 142, MSE: 0.8274006843566895, Reward: -1, LR: 0.00242
[2023-12-06 12:35:17,989] Epoch: 143, MSE: 0.8283931016921997, Reward: -1, LR: 0.00240
[2023-12-06 12:35:33,506] Epoch: 144, MSE: 0.7912899255752563, Reward: 1, LR: 0.00238
[2023-12-06 12:35:47,021] Epoch: 145, MSE: 0.8335437774658203, Reward: -1, LR: 0.00235
[2023-12-06 12:36:00,967] Epoch: 146, MSE: 0.8332643508911133, Reward: -1, LR: 0.00233
[2023-12-06 12:36:14,511] Epoch: 147, MSE: 0.7877933979034424, Reward: 1, LR: 0.00231
[2023-12-06 12:36:43,667] Epoch: 148, MSE: 0.8271597623825073, Reward: -1, LR: 0.00228
[2023-12-06 12:36:59,514] Epoch: 149, MSE: 0.8379705548286438, Reward: -1, LR: 0.00226
[2023-12-06 12:37:13,022] Epoch: 150, MSE: 0.8278912901878357, Reward: -1, LR: 0.00224
[2023-12-06 12:37:26,446] Epoch: 151, MSE: 0.8327042460441589, Reward: -1, LR: 0.00221
[2023-12-06 12:37:39,253] Epoch: 152, MSE: 0.8209004402160645, Reward: -1, LR: 0.00219
[2023-12-06 12:37:49,899] Epoch: 153, MSE: 0.8303276300430298, Reward: -1, LR: 0.00217
[2023-12-06 12:38:07,336] Epoch: 154, MSE: 0.7969463467597961, Reward: 1, LR: 0.00215
[2023-12-06 12:38:26,494] Epoch: 155, MSE: 0.8020024299621582, Reward: 1, LR: 0.00213
[2023-12-06 12:38:41,777] Epoch: 156, MSE: 0.7966356873512268, Reward: 1, LR: 0.00211
